ann‚e;mois;jour;date_format
2014;7;1;20140701
2014;7;2;20140702
2014;7;3;20140703
2014;7;14;20140714
2014;7;15;20140715
2014;7;16;20140716
2014;7;17;20140717
2014;9;15;20140915
2014;9;16;20140916
2014;9;17;20140917
2014;9;18;20140918
2014;10;20;20141020
2014;10;21;20141021
2014;10;22;20141022
2014;10;23;20141023
2014;11;12;20141112
2014;11;13;20141113
2014;11;24;20141124
2014;11;25;20141125
2014;11;26;20141126
2014;11;27;20141127
2014;12;15;20141215
2014;12;16;20141216
2014;12;17;20141217
2014;12;18;20141218
2015;1;12;20150112
2015;1;13;20150113
2015;1;14;20150114
2015;1;15;20150115
2015;1;28;20150128
2015;2;9;20150209
2015;2;10;20150210
2015;2;11;20150211
2015;2;12;20150212
2015;2;25;20150225
2015;3;9;20150309
2015;3;10;20150310
2015;3;11;20150311
2015;3;12;20150312
2015;3;25;20150325
2015;4;15;20150415
2015;4;27;20150427
2015;4;28;20150428
2015;4;29;20150429
2015;4;30;20150430
2015;5;18;20150518
2015;5;19;20150519
2015;5;20;20150520
2015;5;21;20150521
2015;5;27;20150527
2015;6;8;20150608
2015;6;9;20150609
2015;6;10;20150610
2015;6;11;20150611
2015;6;24;20150624
2015;7;6;20150706
2015;7;7;20150707
2015;7;8;20150708
2015;7;9;20150709
2015;9;7;20150907
2015;9;8;20150908
2015;9;9;20150909
2015;9;10;20150910
2015;9;16;20150916
2015;9;17;20150917
2015;10;5;20151005
2015;10;6;20151006
2015;10;7;20151007
2015;10;8;20151008
2015;10;14;20151014
2015;10;26;20151026
2015;10;27;20151027
2015;10;28;20151028
2015;10;29;20151029
2015;11;11;20151111
2015;11;23;20151123
2015;11;24;20151124
2015;11;25;20151125
2015;11;26;20151126
2015;12;2;20151202
2015;12;14;20151214
2015;12;15;20151215
2015;12;16;20151216
2015;12;17;20151217
2016;1;18;20160118
2016;1;19;20160119
2016;1;20;20160120
2016;1;21;20160121
2016;2;1;20160201
2016;2;2;20160202
2016;2;3;20160203
2016;2;4;20160204
2016;2;24;20160224
2016;2;25;20160225
2016;3;7;20160307
2016;3;8;20160308
2016;3;9;20160309
2016;3;10;20160310
2016;4;11;20160411
2016;4;12;20160412
2016;4;13;20160413
2016;4;14;20160414
2016;4;27;20160427
2016;4;28;20160428
2016;5;9;20160509
2016;5;10;20160510
2016;5;11;20160511
2016;5;12;20160512
2016;5;25;20160525
2016;5;26;20160526
2016;6;6;20160606
2016;6;7;20160607
2016;6;8;20160608
2016;6;9;20160609
2016;6;22;20160622
2016;6;23;20160623
2016;6;28;20160628
2016;7;4;20160704
2016;7;5;20160705
2016;7;6;20160706
2016;7;7;20160707
2016;9;12;20160912
2016;9;13;20160913
2016;9;14;20160914
2016;9;15;20160915
2016;10;3;20161003
2016;10;4;20161004
2016;10;5;20161005
2016;10;6;20161006
2016;10;24;20161024
2016;10;25;20161025
2016;10;26;20161026
2016;10;27;20161027
2016;11;21;20161121
2016;11;22;20161122
2016;11;23;20161123
2016;11;24;20161124
2016;11;30;20161130
2016;12;1;20161201
2016;12;12;20161212
2016;12;13;20161213
2016;12;14;20161214
2016;12;15;20161215
2017;1;16;20170116
2017;1;17;20170117
2017;1;18;20170118
2017;1;19;20170119
2017;2;1;20170201
2017;2;2;20170202
2017;2;13;20170213
2017;2;14;20170214
2017;2;15;20170215
2017;2;16;20170216
2017;3;1;20170301
2017;3;2;20170302
2017;3;13;20170313
2017;3;14;20170314
2017;3;15;20170315
2017;3;16;20170316
