Vote;;;ALDE;;;;ECR;;;;EFDD;;;;ENF;;;;GUE/NGL;;;;NI;;;;PPE;;;;S&D;;;;Verts/ALE;;;
vote_year;vote_date;vote_name;ABST;CONTRE;POUR;Total;ABST;CONTRE;POUR;Total ECR;ABST;CONTRE;POUR;Total EFDD;ABST;CONTRE;POUR;Total ENF;ABST;CONTRE;POUR;Total GUE/NGL;ABST;CONTRE;POUR;Total NI;ABST;CONTRE;POUR;Total PPE;ABST;CONTRE;POUR;Total S&D;ABST;CONTRE;POUR;Total Verts/ALE
2014;16/07/2014;1. Nomination de 4 membres de la Commission europÇenne Jyrki Katainen, Jacek Dominik, Ferdinando Nelli Feroci et Martine Reicherts 16/07/2014;1;3;57;61;3;40;17;60;2;27;3;32;;;;;9;29;;38;;38;;38;2;;190;192;3;3;151;157;12;30;3;45
2014;16/07/2014;2. A8-0001/2014 Werner Langen Am 4 16/07/2014;;57;6;63;1;58;1;60;;;40;40;;;;;2;;41;43;3;3;40;46;;194;1;195;3;163;11;177;1;39;8;48
2014;16/07/2014;3. A8-0001/2014 Werner Langen Am 1 16/07/2014;1;61;2;64;2;57;;59;;1;43;44;;;;;6;1;38;45;10;35;2;47;;199;;199;;170;5;175;;1;47;48
2014;16/07/2014;4. A8-0001/2014 Werner Langen Am 3 16/07/2014;;65;;65;1;57;1;59;2;1;42;45;;;;;26;15;;41;5;40;3;48;;200;;200;2;172;3;177;4;;44;48
2014;16/07/2014;5. A8-0001/2014 Werner Langen RÇsolution lÇgislative 16/07/2014;;1;64;65;3;9;49;61;4;39;2;45;;;;;24;21;;45;2;44;2;48;;;201;201;;1;180;181;1;1;47;49
2014;17/07/2014;1. RC-B8-0016/2014 Am 1 17/07/2014;;;54;54;3;21;31;55;18;3;14;35;;;;;;1;40;41;3;43;1;47;;159;25;184;3;;157;160;;;46;46
2014;17/07/2014;10. RC-B8-0025/2014 RÇsolution 17/07/2014;1;2;56;59;2;1;56;59;4;28;3;35;;;;;6;36;;42;;48;1;49;7;1;175;183;1;1;163;165;;4;43;47
2014;17/07/2014;11. RC-B8-0027/2014 Am 9 17/07/2014;1;56;1;58;1;55;1;57;1;18;16;35;;;;;4;3;34;41;22;11;9;42;3;168;10;181;137;3;21;161;;;44;44
2014;17/07/2014;12. RC-B8-0027/2014 Am 4S 17/07/2014;;54;5;59;1;1;57;59;1;16;20;37;;;;;1;33;8;42;2;2;45;49;1;175;9;185;15;149;5;169;;44;1;45
2014;17/07/2014;13. RC-B8-0027/2014 Am 10 17/07/2014;1;57;1;59;1;58;;59;2;18;18;38;;;;;1;;41;42;36;8;5;49;;185;;185;143;;24;167;30;3;14;47
2014;17/07/2014;14. RC-B8-0027/2014 Am 11 17/07/2014;1;56;2;59;2;54;2;58;;20;18;38;;;;;2;;37;39;1;11;36;48;1;178;2;181;130;;36;166;;;45;45
2014;17/07/2014;15. RC-B8-0027/2014 Am 12 17/07/2014;;58;1;59;1;58;;59;20;1;18;39;;;;;1;;41;42;5;9;35;49;;186;;186;150;1;16;167;5;;41;46
2014;17/07/2014;16. RC-B8-0027/2014 Am 13 17/07/2014;;58;1;59;3;53;2;58;1;19;19;39;;;;;3;;37;40;3;10;36;49;;181;1;182;138;;27;165;2;42;3;47
2014;17/07/2014;17. RC-B8-0027/2014 Am 7S 17/07/2014;;54;5;59;4;18;36;58;2;19;18;39;;;;;1;39;1;41;3;34;12;49;;183;2;185;3;160;;163;;46;;46
